KIC,Kpmag,QLen,DLen,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Gran,e_Gran,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase,dnu_acf
2570659,13.99,17,1308.6,31.82,0.78,4.052,0.034,103.7,5.6,11.2,1.0,6005.3,328.9,5110,160,2.424,0.013,-0.32,0.3,1.12,0.11,10.77,0.39,1.13,0.11,10.78,0.39,1.14,0.11,10.84,0.4,2,
2570715,12.7,7,467.2,28.56,0.41,3.406,0.057,124.3,6.0,12.2,1.2,5316.1,608.0,4938,100,2.37,0.009000000000000001,-0.31,0.15,1.54,0.14,13.44,0.54,1.44,0.13,12.97,0.52,1.58,0.15,13.59,0.55,2,
2570870,13.41,7,467.2,77.95,0.85,7.631,0.013,65.3,3.0,26.8,4.1,227.0,56.0,5108,166,2.813,0.01,-0.28,0.3,1.31,0.09,7.44,0.18,1.3,0.09,7.4,0.18,1.34,0.09,7.5,0.18,1,
2571106,12.79,17,1308.6,64.44,1.86,5.515,0.046,38.8,3.1,24.7,4.1,387.3,125.0,5118,151,2.7310000000000003,0.015,-0.38,0.3,2.72,0.3,11.78,0.46,2.79,0.3,11.92,0.47,2.88,0.31,12.1,0.47,2,
2571323,13.28,10,704.3,39.98,0.3,4.646,0.014,122.4,6.3,11.6,0.5,2192.3,154.4,4890,157,2.514,0.009000000000000001,-1.0,0.3,1.21,0.08,10.07,0.24,1.0,0.07,9.17,0.21,1.18,0.08,9.95,0.23,1,
2571668,13.91,17,1308.6,186.85,1.73,14.555,0.076,34.9,2.9,47.4,4.2,21.3,7.6,5207,164,3.197,0.009000000000000001,-0.37,0.3,1.4,0.1,4.95,0.13,1.41,0.1,4.96,0.13,1.44,0.1,5.01,0.13,1,
2572089,11.82,18,1318.0,46.16,2.5,4.298,0.02,47.2,7.3,14.4,2.3,2021.8,450.3,4878,80,2.576,0.024,0.2,0.15,2.53,0.43,13.56,0.78,2.51,0.42,13.52,0.78,2.59,0.44,13.73,0.79,2,
2572323,12.95,7,467.2,29.04,0.63,3.525,0.018000000000000002,133.7,5.7,12.3,2.2,3445.8,395.1,4829,147,2.372,0.012,-0.12,0.3,1.37,0.12,12.62,0.4,1.27,0.11,12.14,0.38,1.39,0.12,12.7,0.4,2,
2572430,13.64,6,457.8,30.74,0.72,4.144,0.034,133.6,6.6,13.5,1.2,4781.9,490.9,4762,80,2.394,0.012,-0.27,0.15,0.83,0.07,9.6,0.32,0.76,0.07,9.16,0.3,0.83,0.07,9.61,0.32,2,
2572522,13.41,18,1318.0,28.81,0.45,3.4360000000000004,0.015,121.1,6.2,11.2,1.6,4079.2,477.7,4867,150,2.37,0.011,-0.92,0.3,1.5,0.12,13.23,0.36,1.31,0.1,12.39,0.34,1.46,0.11,13.08,0.36,1,
