KIC,Kpmag,QLen,DLen,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Gran,e_Gran,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase,dnu_acf
757137,9.2,17,1308.7,29.99,0.6,3.399,0.011,104.9,4.6,12.3,1.5,2787.2,286.3,4751,139,2.383,0.012,-0.08,0.3,1.7,0.14,13.91,0.41,1.55,0.13,13.26,0.39,1.72,0.14,13.97,0.41,1,3.378275719478693
892010,11.67,4,206.3,17.85,0.89,2.427,0.078,196.0,20.5,8.5,2.5,17002.1,3464.7,4834,151,2.161,0.023,0.21,0.3,1.42,0.29,16.37,1.38,1.36,0.28,16.02,1.34,1.43,0.3,16.47,1.39,0,5.055156584859919
892738,11.73,18,1318.1,7.48,0.35,1.3,0.031,384.4,35.5,3.4,0.7,141955.4,12636.8,4534,135,1.769,0.022,-0.25,0.3,1.15,0.21,23.15,1.62,0.99,0.18,21.49,1.48,1.12,0.2,22.86,1.6,0,2.5502185720352726
892760,13.23,6,380.8,29.48,0.48,3.962,0.116,149.7,8.3,12.0,3.9,6319.1,1108.3,5188,183,2.394,0.011,-0.21,0.3,1.0,0.14,10.51,0.68,1.04,0.15,10.74,0.7,1.0,0.14,10.52,0.68,2,2.1839623408161444
893214,12.58,15,1211.9,41.39,0.54,4.311,0.013,86.1,4.6,15.3,1.6,1337.0,289.9,4728,80,2.522,0.008,-0.15,0.15,1.72,0.1,11.9,0.26,1.54,0.09,11.29,0.24,1.72,0.1,11.92,0.26,1,4.302619055189787
893233,11.44,8,638.9,6.15,0.12,1.176,0.018000000000000002,563.5,50.6,2.3,0.3,174726.9,18712.7,4207,147,1.668,0.012,0.22,0.3,0.86,0.09,22.43,0.95,0.71,0.07,20.46,0.84,0.84,0.09,22.28,0.94,0,
1026084,12.14,15,1139.0,41.17,0.9,4.414,0.061,63.8,2.9,24.8,2.7,733.1,165.0,5072,166,2.5340000000000003,0.013,-0.12,0.3,1.71,0.18,11.69,0.48,1.67,0.17,11.55,0.48,1.75,0.18,11.83,0.49,2,4.4733313607004845
1026180,11.74,4,206.3,36.91,0.71,3.991,0.064,116.1,9.6,14.0,2.4,1641.2,697.8,4718,148,2.471,0.012,-0.02,0.3,1.65,0.17,12.37,0.53,1.5,0.16,11.8,0.5,1.67,0.17,12.43,0.53,2,3.943021754301824
1026309,10.6,18,1318.1,16.86,0.76,1.927,0.029,114.4,8.5,6.7,0.9,13065.8,1023.8,4514,80,2.121,0.02,0.25,0.15,2.71,0.42,23.71,1.35,2.6,0.4,23.22,1.32,2.73,0.42,23.78,1.35,0,1.9205349726816845
1026326,13.26,17,1308.7,94.86,0.65,8.83,0.019,59.1,2.4,29.6,1.6,154.0,33.5,5123,162,2.899,0.009000000000000001,-0.41,0.3,1.32,0.08,6.77,0.15,1.3,0.08,6.7,0.15,1.36,0.09,6.85,0.16,1,8.818409832454037
1026452,12.94,18,1318.1,34.5,0.52,3.967,0.078,83.3,4.3,13.6,1.1,1692.1,325.7,5089,154,2.458,0.01,-0.11,0.3,1.55,0.17,12.15,0.57,1.53,0.16,12.08,0.57,1.58,0.17,12.27,0.58,2,4.045717111634498
1027110,12.1,18,1318.1,6.62,0.19,1.152,0.016,527.9,46.1,2.7,0.4,193688.2,18167.0,4190,80,1.699,0.014,-0.27,0.15,1.15,0.13,25.09,1.09,0.99,0.11,23.27,0.99,1.11,0.12,24.66,1.07,0,
1027337,12.11,18,1318.1,74.21,0.68,6.937,0.014,66.8,2.8,23.8,1.1,534.7,52.1,4671,80,2.772,0.006999999999999999,0.29,0.15,1.45,0.08,8.19,0.16,1.34,0.07,7.89,0.15,1.46,0.08,8.23,0.16,1,6.942261663016398
1027582,13.88,17,1308.7,157.75,1.06,12.633,0.018000000000000002,46.6,2.2,42.7,2.7,49.3,14.1,5039,155,3.116,0.008,-0.1,0.3,1.42,0.09,5.45,0.12,1.39,0.09,5.41,0.12,1.44,0.09,5.5,0.12,1,12.624917686959831
1028267,13.28,8,638.9,103.13,0.83,9.468,0.017,54.8,2.0,30.8,2.4,89.1,15.1,5242,183,2.94,0.009000000000000001,-0.17,0.3,1.33,0.09,6.47,0.16,1.38,0.09,6.58,0.16,1.35,0.09,6.53,0.16,1,9.471789381778553
1160684,14.91,17,1308.7,26.38,0.97,3.361,0.223,121.1,8.3,20.9,3.5,1184.2,426.7,4128,128,2.296,0.018000000000000002,-0.09,0.3,0.98,0.29,11.66,1.62,0.82,0.23,10.66,1.43,0.95,0.28,11.47,1.59,2,1.792230764641161
1160789,9.7,18,1318.1,24.72,0.62,3.509,0.048,149.0,7.3,11.1,1.5,9115.0,643.5,4724,80,2.297,0.012,-0.27,0.15,0.83,0.09,10.72,0.44,0.74,0.08,10.14,0.41,0.83,0.09,10.7,0.43,2,1.76311406840796
1161447,12.61,7,467.3,36.18,1.55,4.125,0.057,100.3,4.2,15.5,1.6,3105.1,255.4,4793,80,2.466,0.019,0.07,0.15,1.4,0.2,11.44,0.61,1.31,0.19,11.07,0.59,1.41,0.21,11.52,0.62,2,4.14555024633291
1161618,10.22,18,1318.1,34.32,0.5,4.1080000000000005,0.028,121.7,5.5,14.4,1.8,2954.8,410.5,4747,80,2.441,0.009000000000000001,0.08,0.15,1.19,0.08,10.89,0.28,1.11,0.08,10.52,0.27,1.2,0.08,10.92,0.28,2,4.092943379571011
1162220,11.22,18,1318.1,11.0,0.32,1.668,0.021,311.6,20.5,4.9,0.7,54925.9,5161.3,4218,80,1.921,0.014,0.01,0.15,1.21,0.13,19.96,0.84,1.04,0.11,18.52,0.77,1.18,0.13,19.67,0.83,1,1.6529194405381302
1162746,11.45,18,1318.1,27.38,0.77,3.703,0.111,140.5,6.2,12.3,1.9,6804.2,611.0,4989,100,2.354,0.014,-0.56,0.15,0.99,0.15,10.96,0.75,0.93,0.14,10.64,0.72,1.01,0.16,11.07,0.76,2,2.062213781141612
1163114,12.72,17,1308.7,14.24,0.44,1.898,0.016,212.6,16.4,5.9,0.9,29147.4,2741.9,4311,80,2.0380000000000003,0.015,0.26,0.15,1.62,0.18,20.17,0.79,1.44,0.15,18.99,0.73,1.61,0.17,20.09,0.78,1,1.8715330199099889
1163359,12.03,15,1139.0,21.43,0.41,2.642,0.015,132.1,7.1,8.0,0.9,7264.5,724.2,4560,80,2.228,0.01,-0.37,0.15,1.6,0.12,16.11,0.45,1.41,0.11,15.13,0.42,1.56,0.12,15.9,0.44,1,2.622297568474448
1163453,11.98,15,1139.0,40.33,0.82,4.415,0.065,87.4,4.2,15.5,1.2,2176.9,174.0,5034,159,2.524,0.012,-0.16,0.3,1.59,0.16,11.41,0.47,1.53,0.16,11.21,0.46,1.62,0.17,11.54,0.48,2,4.336217546332602
1163621,11.79,17,1292.3,51.32,0.71,5.013,0.033,55.8,2.3,20.8,1.8,789.5,48.6,4909,80,2.623,0.008,0.06,0.15,1.89,0.12,11.12,0.28,1.81,0.12,10.87,0.27,1.94,0.13,11.26,0.28,2,5.040539754160889
1164301,13.93,15,1211.9,57.93,0.41,5.959,0.021,84.5,8.4,11.8,1.3,2410.3,263.3,5066,158,2.6830000000000003,0.009000000000000001,-0.13,0.3,1.43,0.09,9.02,0.21,1.41,0.09,8.96,0.21,1.46,0.09,9.11,0.21,1,5.944180197277944
1164584,14.3,17,1308.7,28.58,0.36,3.361,0.012,189.9,11.6,10.0,0.9,8898.6,1033.3,4266,80,2.338,0.008,0.1,0.15,1.31,0.08,12.84,0.29,1.14,0.07,11.96,0.26,1.28,0.08,12.71,0.28,1,3.346554811093146
1292147,15.23,17,1308.7,88.14,0.83,8.079,0.027000000000000003,72.9,5.3,26.6,2.8,194.4,55.8,4213,124,2.825,0.009000000000000001,-0.29,0.3,1.13,0.07,6.81,0.16,0.97,0.06,6.31,0.15,1.09,0.07,6.69,0.16,1,8.08882909970444
1294122,11.94,18,1318.1,75.62,0.84,7.022,0.016,50.2,2.9,21.8,1.5,537.5,46.7,4795,80,2.786,0.006999999999999999,0.03,0.15,1.52,0.08,8.25,0.17,1.41,0.08,7.96,0.16,1.54,0.09,8.31,0.17,1,7.005230009161799
1294385,10.65,18,1318.1,106.81,1.08,9.09,0.016,37.0,2.2,30.6,2.1,222.0,38.8,4824,80,2.938,0.006999999999999999,0.11,0.15,1.54,0.08,6.98,0.14,1.45,0.08,6.78,0.13,1.56,0.08,7.03,0.14,1,9.083185879326493
1294578,13.94,15,1211.9,49.15,0.47,5.377000000000002,0.015,97.5,6.1,15.4,1.3,1681.3,187.1,4649,80,2.593,0.006999999999999999,-0.37,0.15,1.16,0.06,9.01,0.18,1.0,0.05,8.37,0.16,1.12,0.06,8.88,0.18,1,5.356674106088278
1294924,13.78,17,1308.7,36.27,1.59,4.231,0.087,100.6,9.5,14.8,5.2,4136.9,1182.6,5191,162,2.484,0.021,-0.11,0.3,1.43,0.24,11.34,0.72,1.46,0.24,11.46,0.73,1.46,0.24,11.44,0.73,2,4.298181754155159
1295017,13.85,7,548.1,27.19,0.62,3.903,0.026,151.3,8.0,13.9,2.0,6325.2,760.4,4942,159,2.349,0.013,0.12,0.3,0.77,0.07,9.75,0.33,0.82,0.08,10.02,0.34,0.79,0.07,9.83,0.33,2,1.9230843867282843
1295475,12.45,8,557.6,40.05,0.59,4.282,0.051,91.4,3.3,17.6,2.0,2328.6,158.6,4897,159,2.515,0.01,-0.08,0.3,1.68,0.15,11.88,0.42,1.58,0.14,11.52,0.4,1.72,0.15,12.0,0.43,2,4.31211228644306
1296068,12.82,8,557.6,59.56,0.49,6.14,0.013,86.0,3.9,19.1,1.4,988.9,82.5,4609,80,2.674,0.006999999999999999,0.07,0.15,1.2,0.06,8.34,0.16,1.07,0.06,7.88,0.15,1.2,0.06,8.34,0.16,1,6.125790336859403
1296179,13.28,17,1308.7,41.82,1.25,4.52,0.031,61.0,4.8,14.3,1.6,1837.3,230.3,5250,158,2.549,0.015,-0.13,0.3,1.71,0.19,11.53,0.45,1.76,0.19,11.67,0.45,1.75,0.19,11.66,0.45,2,
1296507,12.84,17,1308.7,126.62,2.42,10.333,0.019,21.7,1.3,39.9,10.7,57.2,6.3,4934,80,3.016,0.01,0.04,0.15,1.59,0.11,6.47,0.16,1.53,0.11,6.35,0.16,1.61,0.12,6.52,0.17,1,
1297272,13.81,15,1211.9,31.79,1.42,4.24,0.034,115.7,6.0,15.3,8.3,6511.9,543.2,4825,80,2.411,0.02,-0.35,0.15,0.86,0.12,9.54,0.48,0.79,0.11,9.15,0.46,0.86,0.12,9.56,0.48,2,
1429497,13.537,18,1318.12,234.61,3.17,16.733,0.07,,,,,,,5018,80,3.2880000000000003,0.008,-0.28,0.15,1.51,0.09,4.61,0.1,1.44,0.09,4.51,0.1,1.54,0.1,4.67,0.11,1,
1429505,11.96,18,1318.1,55.78,0.5,5.755,0.01,88.6,3.6,17.3,0.8,1139.2,64.4,4685,80,2.649,0.006999999999999999,-0.03,0.15,1.3,0.07,8.96,0.17,1.18,0.06,8.5,0.16,1.31,0.07,8.97,0.17,1,
1429629,15.19,17,1308.7,63.33,0.79,6.263,0.013,88.7,5.7,15.7,2.8,1630.9,96.1,4261,128,2.684,0.01,-0.46,0.3,1.18,0.08,8.19,0.2,1.02,0.07,7.62,0.19,1.14,0.08,8.04,0.2,1,
1430118,13.52,18,1318.1,160.91,0.95,13.32,0.018000000000000002,47.5,2.4,41.4,2.2,50.9,11.9,5070,155,3.1260000000000003,0.008,-0.14,0.3,1.23,0.08,5.02,0.11,1.23,0.08,5.03,0.11,1.24,0.08,5.04,0.11,1,
1430912,12.79,6,457.8,32.65,0.72,3.912,0.068,118.8,4.8,13.7,1.3,3971.5,412.0,4968,162,2.4290000000000003,0.013,-0.01,0.3,1.34,0.15,11.68,0.54,1.31,0.15,11.56,0.54,1.35,0.15,11.76,0.55,2,
1430985,13.05,18,1318.1,120.79,0.98,10.448,0.022,42.1,1.3,37.4,6.7,61.8,10.2,4964,80,2.997,0.006999999999999999,-0.33,0.15,1.33,0.07,6.06,0.11,1.25,0.06,5.88,0.11,1.36,0.07,6.12,0.11,1,
1431059,13.12,18,1318.1,171.02,0.86,13.67,0.018000000000000002,45.0,2.6,44.8,2.5,81.7,28.2,4829,80,3.142,0.006,0.15,0.15,1.24,0.06,4.94,0.09,1.19,0.06,4.85,0.08,1.25,0.06,4.96,0.09,1,
1431316,13.15,18,1318.1,37.4,0.66,4.316,0.037000000000000005,114.1,5.5,14.9,1.1,3513.2,353.1,5092,153,2.494,0.011,-0.1,0.3,1.41,0.12,11.13,0.36,1.41,0.12,11.13,0.36,1.43,0.12,11.23,0.36,2,
1432587,11.55,18,1318.1,5.38,0.3,1.07,0.013,453.1,49.9,2.6,0.7,342861.7,32465.4,4443,100,1.622,0.025,-0.23,0.15,0.9,0.16,24.32,1.53,0.76,0.14,22.3,1.39,0.88,0.16,24.05,1.51,1,
1432825,13.92,17,1308.7,177.11,2.62,13.669,0.024,34.5,2.6,71.8,11.6,18.8,5.8,5293,168,3.177,0.01,-0.07,0.3,1.58,0.12,5.36,0.14,1.64,0.12,5.47,0.14,1.6,0.12,5.41,0.14,1,
1433132,13.62,8,632.7,38.74,0.64,4.3610000000000015,0.018000000000000002,117.3,4.9,15.3,2.1,1065.7,300.5,4689,144,2.491,0.011,0.37,0.3,1.33,0.1,10.84,0.3,1.25,0.1,10.51,0.29,1.33,0.1,10.84,0.3,1,
1433593,11.52,18,1318.1,69.14,0.59,6.2410000000000005,0.013,36.5,3.1,21.2,2.7,393.6,75.6,4956,100,2.755,0.006999999999999999,0.11,0.15,1.95,0.11,9.71,0.19,1.9,0.1,9.56,0.19,2.0,0.11,9.83,0.19,1,
1433730,10.89,18,1318.1,40.37,0.54,4.085,0.019,65.8,3.0,15.6,1.4,1418.1,81.1,4767,100,2.513,0.009000000000000001,-0.06,0.15,2.0,0.13,12.98,0.31,1.84,0.12,12.45,0.3,2.02,0.13,13.05,0.31,1,
1433803,10.19,18,1318.1,150.14,1.04,12.178,0.015,44.5,1.9,41.3,1.9,51.1,7.3,4760,80,3.083,0.006,0.28,0.15,1.3,0.06,5.43,0.1,1.24,0.06,5.29,0.09,1.31,0.06,5.44,0.1,1,
1434395,12.55,7,467.3,24.41,1.27,3.667,0.091,144.8,6.6,12.2,8.0,8037.7,853.7,5072,164,2.307,0.024,-0.13,0.3,0.75,0.15,10.05,0.75,0.79,0.15,10.36,0.78,0.76,0.15,10.14,0.76,2,
1435573,11.41,18,1318.1,25.71,0.64,3.641,0.083,160.0,7.8,10.9,1.1,9689.2,615.4,4821,100,2.319,0.012,0.1,0.15,0.83,0.11,10.47,0.57,0.85,0.11,10.59,0.58,0.84,0.11,10.52,0.58,2,
1569823,10.64,2,41.9,43.99,4.33,5.425,0.405,86.3,23.8,15.3,4.5,2475.2,591.4,4679,163,2.546,0.044,-0.32,0.3,0.81,0.34,7.95,1.43,0.7,0.29,7.41,1.3,0.8,0.34,7.91,1.42,2,
1569842,11.09,18,1318.1,135.02,0.65,11.768,0.018000000000000002,54.5,2.1,35.5,1.2,114.8,24.0,4808,80,3.039,0.006,-0.26,0.15,1.1,0.05,5.25,0.09,1.0,0.05,5.01,0.09,1.1,0.05,5.25,0.09,1,
1571780,10.61,17,1235.8,49.0,1.19,4.464,0.032,43.1,3.3,17.1,2.0,1260.3,40.9,4912,80,2.603,0.012,0.26,0.15,2.62,0.24,13.39,0.44,2.65,0.24,13.47,0.44,2.7,0.24,13.59,0.44,2,
1572049,11.57,17,1308.7,51.54,2.44,5.188,0.048,29.8,6.8,18.3,6.8,957.3,164.0,4789,80,2.62,0.021,-0.57,0.15,1.61,0.25,10.3,0.55,1.42,0.22,9.65,0.51,1.58,0.24,10.19,0.54,2,
1572175,11.86,15,1139.0,56.04,0.67,5.369,0.012,62.9,2.4,20.1,1.6,765.4,54.4,4789,100,2.656,0.008,-0.04,0.15,1.8,0.11,10.45,0.23,1.66,0.1,10.03,0.22,1.84,0.11,10.54,0.23,1,
1572317,12.08,18,1318.1,197.27,1.05,14.722,0.048,20.4,1.0,57.3,3.2,6.8,1.4,5333,172,3.2260000000000004,0.009000000000000001,-0.31,0.3,1.64,0.1,5.17,0.12,1.69,0.11,5.26,0.12,1.68,0.11,5.24,0.12,1,
1572780,10.27,17,1235.8,18.15,0.54,2.638,0.087,132.7,8.5,8.0,2.5,12325.5,994.2,4738,80,2.164,0.014,-0.49,0.15,1.04,0.17,13.95,1.04,0.89,0.14,12.96,0.93,1.0,0.17,13.74,1.01,0,
1573925,13.65,17,1308.7,124.25,1.05,10.796,0.022,45.9,2.2,42.7,7.5,70.9,18.9,5143,158,3.017,0.009000000000000001,-0.12,0.3,1.34,0.09,5.94,0.14,1.36,0.09,5.99,0.14,1.36,0.09,5.99,0.14,1,
1575886,11.4,17,1308.7,100.8,1.28,8.077,0.036000000000000004,32.4,1.2,43.1,3.4,94.7,22.5,5016,80,2.9210000000000003,0.008,-0.0,0.15,2.2,0.13,8.5,0.19,2.17,0.13,8.46,0.19,2.27,0.14,8.64,0.19,2,
1576043,12.49,18,1318.1,5.43,0.34,0.933,0.026,540.9,48.5,2.6,0.6,417837.3,42646.6,4133,80,1.61,0.028,0.03,0.15,1.44,0.32,31.17,2.66,1.28,0.28,29.29,2.47,1.41,0.31,30.79,2.62,1,
1576420,12.23,7,467.3,44.6,0.59,4.8580000000000005,0.017,103.0,4.6,15.6,1.2,1766.1,139.7,4594,138,2.548,0.01,-0.37,0.3,1.28,0.09,9.95,0.25,1.1,0.08,9.26,0.23,1.24,0.09,9.81,0.25,1,
1576469,10.36,18,1318.1,90.4,0.96,7.407,0.034,37.2,1.3,34.4,1.9,190.5,24.5,5217,100,2.882,0.008,0.12,0.15,2.38,0.14,9.25,0.2,2.53,0.15,9.55,0.21,2.46,0.14,9.4,0.21,2,
1576646,13.34,17,1292.3,84.47,1.11,7.67,0.013,61.8,2.7,29.4,1.7,237.8,72.2,4814,80,2.835,0.008,-0.07,0.15,1.5,0.09,7.74,0.16,1.38,0.08,7.44,0.16,1.51,0.09,7.79,0.17,1,
1577143,10.18,18,1318.1,35.02,1.0,3.836,0.031,71.3,2.7,15.1,1.1,2131.5,109.2,4987,141,2.461,0.014,-0.13,0.3,1.8,0.19,13.06,0.5,1.72,0.18,12.76,0.49,1.84,0.2,13.22,0.51,2,
1701763,13.92,5,371.3,29.36,1.01,3.577,0.044,103.0,8.7,9.7,4.0,7542.9,822.6,4800,144,2.376,0.017,-0.28,0.3,1.32,0.17,12.36,0.58,1.19,0.15,11.72,0.55,1.32,0.17,12.36,0.58,2,
1717618,11.7,18,1318.1,120.51,1.17,9.673,0.016,27.5,1.5,42.8,8.2,99.8,17.8,4876,80,2.992,0.006999999999999999,0.08,0.15,1.75,0.09,6.99,0.13,1.66,0.09,6.81,0.13,1.79,0.09,7.07,0.14,1,
1717783,13.24,7,467.3,34.64,3.03,4.085,0.027000000000000003,117.1,5.2,16.6,3.5,3948.6,392.5,4971,159,2.455,0.039,0.08,0.3,1.34,0.36,11.37,1.04,1.33,0.36,11.31,1.03,1.36,0.37,11.44,1.04,2,
1717994,13.78,14,1125.9,31.48,0.49,4.143,0.064,164.1,9.4,12.3,1.3,10905.4,852.1,4875,80,2.4090000000000003,0.009000000000000001,-0.44,0.15,0.93,0.08,9.95,0.38,0.85,0.07,9.54,0.36,0.94,0.08,10.0,0.38,2,
1718743,13.74,7,548.1,29.63,0.53,3.974,0.034,143.5,7.3,10.5,1.3,6938.5,732.8,4882,158,2.383,0.011,-0.63,0.3,0.91,0.08,10.19,0.33,0.82,0.07,9.64,0.31,0.91,0.08,10.17,0.33,2,
1719065,13.42,2,114.1,10.08,0.43,1.5530000000000002,0.18600000000000005,309.2,56.4,3.6,0.8,50634.5,11598.6,4364,152,1.891,0.021,-0.18,0.3,1.31,0.65,21.46,5.24,1.13,0.55,19.99,4.72,1.27,0.63,21.16,5.13,0,
1719297,11.64,18,1318.1,7.23,0.47,1.161,0.059,331.8,29.7,4.0,1.0,120000.0,12898.6,4318,100,1.744,0.029,-0.05,0.15,1.52,0.44,27.38,3.35,1.34,0.38,25.71,3.08,1.48,0.43,27.1,3.31,1,
1719422,12.92,18,1318.1,136.07,0.8,11.316,0.017,40.0,1.6,41.0,2.5,62.0,13.1,4923,80,3.047,0.006,-0.19,0.15,1.36,0.06,5.79,0.1,1.29,0.06,5.62,0.1,1.39,0.07,5.85,0.1,1,
1720241,12.931,9,639.92,212.06,2.91,15.984000000000002,0.035,,,,,,,4979,80,3.242,0.008,-0.12,0.15,1.32,0.08,4.55,0.1,1.28,0.08,4.48,0.1,1.34,0.08,4.58,0.1,1,
1720425,10.78,18,1318.1,28.12,0.58,3.742,0.028,112.5,6.3,12.4,2.5,3166.0,704.0,4758,100,2.355,0.011,-0.2,0.15,0.96,0.08,10.76,0.33,0.87,0.07,10.27,0.32,0.95,0.08,10.73,0.33,2,
1721071,13.83,6,457.8,30.28,1.85,3.847,0.08800000000000001,90.0,10.2,19.0,6.6,4805.9,1178.2,4982,164,2.397,0.028,-0.01,0.3,1.15,0.24,11.22,0.89,1.15,0.25,11.24,0.89,1.15,0.25,11.26,0.89,2,
1721595,13.92,17,1308.7,156.19,1.01,13.183,0.027000000000000003,47.0,2.7,40.6,2.8,47.4,17.2,4971,154,3.109,0.008,-0.53,0.3,1.14,0.07,4.92,0.11,1.06,0.07,4.75,0.11,1.16,0.07,4.98,0.11,1,
1723047,12.37,18,1318.1,142.81,1.63,11.425,0.017,22.4,1.3,42.6,6.2,33.8,7.0,4977,80,3.071,0.006999999999999999,-0.08,0.15,1.54,0.09,6.0,0.12,1.48,0.08,5.88,0.12,1.57,0.09,6.05,0.12,1,
1723191,13.57,2,114.1,9.51,1.27,1.466,0.122,285.6,59.1,4.9,1.3,82675.2,16231.1,4311,150,1.863,0.059,-0.22,0.3,1.36,0.71,22.59,4.84,1.19,0.61,21.13,4.44,1.32,0.69,22.26,4.75,0,
1723656,12.92,7,467.3,30.89,0.98,3.86,0.055,114.0,4.3,15.4,3.0,4030.1,255.1,4764,145,2.396,0.016,0.17,0.3,1.12,0.14,11.12,0.53,1.07,0.13,10.86,0.51,1.13,0.14,11.14,0.53,2,
1723700,13.77,15,1211.9,40.29,0.83,4.518,0.039,84.0,4.2,16.6,1.3,2442.4,151.8,4970,155,2.521,0.012,-0.2,0.3,1.41,0.13,10.81,0.37,1.35,0.12,10.55,0.36,1.44,0.13,10.93,0.37,2,
1723752,12.33,18,1318.1,197.28,0.86,15.042,0.075,30.9,1.4,49.6,3.7,25.9,6.2,4963,80,3.21,0.006,-0.08,0.15,1.35,0.07,4.77,0.09,1.3,0.06,4.7,0.09,1.37,0.07,4.81,0.09,1,
1723843,12.23,18,1318.1,108.0,0.77,9.41,0.023,38.9,3.0,29.7,2.8,58.5,7.2,4908,80,2.946,0.006,-0.2,0.15,1.42,0.07,6.64,0.12,1.33,0.07,6.42,0.12,1.45,0.07,6.71,0.12,1,
1725183,11.85,3,196.9,47.1,1.64,4.424,0.483,68.9,7.3,17.6,3.6,1193.1,423.6,5041,165,2.592,0.017,0.18,0.3,2.51,1.14,13.28,2.95,2.58,1.18,13.47,3.01,2.59,1.18,13.49,3.02,2,
1725190,9.22,18,1318.1,98.48,1.54,7.894,0.047,30.4,1.5,37.8,3.0,114.8,27.3,5054,80,2.912,0.009000000000000001,-0.0,0.15,2.27,0.15,8.73,0.22,2.28,0.16,8.75,0.22,2.37,0.16,8.92,0.23,2,
1725552,10.89,18,1318.2,8.93,0.82,1.214,0.022,172.1,23.1,3.0,1.0,94901.2,8626.9,4234,100,1.831,0.041,0.14,0.15,2.32,0.67,30.63,3.08,2.16,0.63,29.58,2.97,2.33,0.67,30.67,3.08,1,
1725626,12.23,8,557.6,33.53,0.89,4.0680000000000005,0.043,131.5,5.9,15.3,2.0,4317.4,387.0,4678,143,2.428,0.014,0.46,0.3,1.13,0.12,10.77,0.43,1.09,0.12,10.59,0.42,1.14,0.12,10.83,0.43,2,
1725796,13.62,7,548.2,41.62,0.63,4.557,0.145,80.5,4.3,17.9,1.6,1467.1,288.9,5008,161,2.536,0.011,-0.12,0.3,1.52,0.23,11.02,0.76,1.47,0.22,10.84,0.74,1.55,0.23,11.13,0.77,2,
1725952,13.33,5,371.4,33.13,0.56,3.897,0.058,132.7,6.7,13.5,1.2,4869.6,535.8,4697,141,2.423,0.011,0.15,0.3,1.31,0.13,11.62,0.46,1.2,0.12,11.16,0.44,1.32,0.13,11.67,0.47,2,
1726211,10.93,18,1318.2,30.7,0.63,3.699,0.067,88.2,4.9,12.6,1.2,3643.5,198.2,4995,100,2.404,0.011,-0.72,0.15,1.4,0.15,12.32,0.56,1.29,0.14,11.81,0.53,1.44,0.15,12.47,0.57,2,
1726245,11.57,10,704.4,46.52,1.13,4.892,0.048,52.3,4.1,19.7,1.2,1379.2,90.7,4836,80,2.577,0.012,0.2,0.15,1.52,0.14,10.5,0.37,1.45,0.14,10.26,0.36,1.54,0.14,10.59,0.37,2,
1726291,12.86,18,1318.2,149.79,0.88,12.864,0.024,47.4,1.9,37.9,1.4,49.5,10.4,4815,80,3.084,0.006,-0.31,0.15,1.05,0.05,4.88,0.09,0.95,0.05,4.65,0.08,1.05,0.05,4.87,0.09,1,
1849462,13.76,17,1308.5,164.74,1.09,13.223,0.023,45.8,2.2,43.1,2.6,39.2,11.0,4983,145,3.133,0.008,-0.16,0.3,1.32,0.08,5.17,0.11,1.28,0.08,5.08,0.11,1.34,0.08,5.21,0.11,1,
1849679,12.85,18,1317.9,45.87,0.51,5.183,0.019,94.3,4.8,14.5,0.9,1736.7,125.5,4945,147,2.576,0.009000000000000001,-0.69,0.3,1.2,0.08,9.33,0.23,1.08,0.07,8.87,0.22,1.21,0.08,9.38,0.23,1,
1850285,13.63,7,556.4,54.57,0.67,5.044,0.026,49.5,4.7,14.7,2.1,1041.1,180.9,4762,166,2.643,0.01,0.14,0.3,2.12,0.16,11.5,0.32,1.99,0.15,11.14,0.31,2.16,0.17,11.61,0.32,2,
1864183,11.34,18,1318.1,54.12,0.48,5.505,0.015,88.4,4.5,17.7,1.0,1128.9,67.4,4632,100,2.634,0.006999999999999999,0.2,0.15,1.4,0.08,9.44,0.19,1.27,0.07,9.02,0.18,1.42,0.08,9.5,0.2,1,
1864855,11.55,18,1318.1,124.78,1.45,10.444,0.011,33.8,1.6,44.3,5.1,69.3,12.5,5083,100,3.016,0.008,-0.05,0.15,1.52,0.09,6.34,0.13,1.51,0.09,6.32,0.13,1.55,0.09,6.39,0.13,1,
1864959,8.81,18,1318.1,40.69,0.85,4.4860000000000015,0.038,76.8,3.5,16.6,1.3,1685.5,96.6,4998,147,2.526,0.012,-0.11,0.3,1.51,0.14,11.11,0.37,1.46,0.13,10.91,0.37,1.54,0.14,11.22,0.38,2,
1865102,13.83,15,1211.9,82.07,0.52,7.899,0.017,74.0,2.8,24.6,1.4,149.5,27.2,4857,147,2.825,0.008,-0.1,0.3,1.24,0.08,7.12,0.16,1.16,0.07,6.9,0.15,1.25,0.08,7.15,0.16,1,
1865262,12.47,18,1318.1,53.41,0.44,5.5710000000000015,0.012,88.5,4.4,16.8,1.0,1002.4,66.7,4772,80,2.634,0.006999999999999999,-0.21,0.15,1.34,0.07,9.24,0.17,1.2,0.06,8.76,0.16,1.34,0.07,9.25,0.17,1,
